Great Wall of China,Great Wall of China.1
萬里長城,萬里長城
The Ming dynasty Great Wall at Jinshanling,The Ming dynasty Great Wall at Jinshanling
Map of all the wall constructions,Map of all the wall constructions
General information,General information
Type,Fortification
Country,China
Coordinates,40°41′N 117°14′E﻿ / ﻿40.68°N 117.23°ECoordinates: 40°41′N 117°14′E﻿ / ﻿40.68°N 117.23°E
Technical details,Technical details
Size,"21,196 km (13,171 mi)[1]"
UNESCO World Heritage Site,UNESCO World Heritage Site
Official name,The Great Wall
Type,Cultural
Criteria,"i, ii, iii, iv, vi"
Designated,1987 (11th session)
Reference no.,438
State Party,China
Region,Asia-Pacific
